J301_1.RCP 43 [1, 4, 3, 2, 13, 8, 10, 18, 7, 11, 12, 16, 9, 19, 27, 15, 14, 5, 20, 17, 29, 22, 21, 26, 6, 28, 23, 24, 25, 31, 30, 32]
J301_2.RCP 47 [1, 2, 4, 3, 10, 7, 5, 6, 17, 9, 22, 15, 11, 16, 19, 20, 26, 18, 13, 12, 8, 21, 23, 14, 24, 27, 29, 28, 31, 25, 30, 32]
J301_3.RCP 47 [1, 3, 4, 5, 7, 6, 12, 9, 20, 15, 10, 8, 18, 11, 14, 17, 2, 23, 24, 19, 27, 28, 16, 13, 21, 22, 31, 25, 26, 29, 30, 32]
J301_4.RCP 62 [1, 4, 2, 6, 14, 7, 5, 3, 8, 19, 24, 9, 22, 10, 13, 23, 15, 11, 12, 21, 18, 16, 27, 17, 26, 20, 31, 25, 29, 28, 30, 32]
J301_5.RCP 40 [1, 3, 2, 4, 8, 5, 10, 15, 14, 27, 6, 16, 20, 7, 9, 11, 18, 12, 19, 13, 17, 25, 21, 22, 23, 26, 24, 31, 29, 28, 30, 32]
J301_6.RCP 49 [1, 4, 2, 5, 3, 11, 7, 6, 12, 10, 23, 15, 8, 21, 27, 13, 9, 24, 25, 16, 14, 22, 19, 17, 28, 30, 18, 20, 31, 26, 29, 32]
J301_7.RCP 60 [1, 4, 3, 2, 5, 6, 10, 24, 13, 12, 18, 16, 9, 8, 21, 11, 17, 26, 20, 15, 25, 7, 22, 19, 14, 27, 23, 28, 30, 29, 31, 32]
J301_8.RCP 56 [1, 2, 3, 4, 10, 5, 8, 9, 11, 22, 6, 14, 12, 17, 7, 19, 23, 20, 13, 24, 16, 25, 15, 18, 30, 26, 27, 21, 28, 31, 29, 32]
J301_9.RCP 49 [1, 4, 2, 10, 7, 3, 20, 5, 8, 15, 24, 12, 6, 9, 13, 18, 21, 19, 22, 14, 17, 25, 16, 11, 26, 31, 27, 28, 23, 30, 29, 32]
J301_10.RCP 45 [1, 4, 2, 5, 3, 7, 8, 11, 18, 22, 20, 9, 12, 16, 13, 14, 10, 21, 23, 15, 17, 19, 6, 25, 26, 24, 27, 30, 28, 29, 31, 32]
J302_1.RCP 38 [1, 2, 3, 4, 8, 7, 6, 10, 17, 14, 9, 5, 20, 15, 13, 19, 12, 11, 18, 21, 27, 24, 16, 22, 23, 28, 26, 29, 25, 31, 30, 32]
J302_2.RCP 51 [1, 4, 2, 3, 7, 8, 9, 5, 16, 18, 6, 13, 12, 15, 14, 17, 10, 26, 19, 20, 21, 25, 23, 29, 22, 11, 27, 28, 24, 30, 31, 32]
J302_3.RCP 43 [1, 3, 4, 10, 6, 2, 7, 5, 15, 18, 14, 12, 19, 16, 9, 23, 27, 11, 24, 21, 8, 13, 26, 31, 28, 22, 20, 17, 30, 25, 29, 32]
J302_4.RCP 43 [1, 2, 3, 4, 5, 14, 18, 13, 21, 6, 19, 12, 8, 16, 9, 7, 11, 23, 17, 15, 27, 26, 28, 10, 25, 24, 20, 30, 29, 22, 31, 32]
J302_5.RCP 51 [1, 3, 2, 4, 5, 6, 29, 8, 19, 7, 9, 11, 12, 14, 17, 20, 13, 16, 15, 10, 24, 22, 23, 21, 18, 25, 27, 26, 30, 28, 31, 32]
J302_6.RCP 47 [1, 3, 2, 5, 13, 12, 7, 4, 8, 9, 16, 6, 18, 29, 11, 10, 15, 21, 19, 20, 14, 28, 22, 25, 17, 24, 23, 26, 27, 30, 31, 32]
J302_7.RCP 47 [1, 2, 4, 3, 5, 10, 9, 8, 13, 7, 14, 6, 24, 17, 11, 22, 15, 12, 16, 18, 19, 23, 27, 21, 25, 20, 28, 29, 30, 26, 31, 32]
J302_8.RCP 54 [1, 2, 3, 5, 6, 13, 7, 10, 4, 8, 15, 21, 14, 19, 22, 9, 23, 17, 20, 11, 27, 12, 26, 24, 18, 25, 31, 16, 28, 29, 30, 32]
J302_9.RCP 54 [1, 3, 2, 7, 4, 15, 6, 5, 10, 13, 17, 9, 8, 19, 18, 23, 11, 12, 21, 20, 14, 16, 28, 27, 22, 26, 24, 25, 31, 30, 29, 32]
J302_10.RCP 43 [1, 4, 2, 3, 7, 10, 13, 5, 11, 6, 9, 16, 21, 17, 8, 15, 18, 24, 12, 19, 14, 25, 26, 20, 22, 27, 23, 28, 29, 31, 30, 32]
J303_1.RCP 72 [1, 2, 3, 4, 5, 7, 10, 6, 11, 17, 12, 9, 23, 8, 14, 18, 13, 19, 16, 24, 15, 21, 20, 22, 25, 29, 28, 26, 30, 27, 31, 32]
J303_2.RCP 40 [1, 3, 2, 4, 5, 6, 12, 8, 7, 9, 19, 14, 10, 20, 13, 17, 21, 26, 11, 15, 18, 16, 22, 23, 30, 24, 25, 27, 28, 31, 29, 32]
J303_3.RCP 57 [1, 3, 4, 5, 20, 9, 10, 8, 13, 2, 6, 7, 15, 19, 17, 16, 11, 21, 23, 26, 14, 12, 22, 24, 18, 28, 27, 25, 29, 31, 30, 32]
J303_4.RCP 98 [1, 2, 4, 3, 5, 7, 18, 8, 6, 24, 9, 10, 15, 21, 11, 17, 12, 14, 16, 25, 13, 20, 22, 23, 19, 26, 27, 30, 28, 29, 31, 32]
J303_5.RCP 53 [1, 3, 2, 4, 5, 8, 6, 7, 12, 16, 10, 11, 25, 9, 14, 17, 27, 15, 23, 24, 18, 21, 13, 19, 20, 22, 26, 28, 29, 31, 30, 32]
J303_6.RCP 54 [1, 4, 3, 9, 2, 7, 21, 8, 11, 25, 13, 5, 12, 24, 10, 6, 18, 16, 15, 14, 19, 20, 23, 29, 17, 26, 22, 27, 28, 31, 30, 32]
J303_7.RCP 48 [1, 2, 4, 3, 9, 23, 5, 13, 30, 6, 16, 12, 19, 8, 11, 7, 15, 21, 18, 14, 25, 17, 24, 20, 22, 10, 28, 26, 27, 29, 31, 32]
